Elbow Angle,Knee Angle,Hip Angle,Phase
171.96208885436087,62.96844157921754,24.68685118015622,Drive
173.12766865190872,59.98257030625861,23.603169799519254,Drive
174.96766730730621,58.431739628842294,22.627351091178838,Drive
174.1710414945775,57.55776336251996,22.42302946825854,Drive
174.4214457534939,56.611740263469954,21.841174539176336,Drive
174.23254268838386,56.39446478172806,21.407293830033133,Drive
174.22338214241412,56.62734387289795,21.34358975707715,Drive
174.15900816761138,56.555000398136904,21.08428585534484,Drive
174.40904009104625,56.475068058162655,20.913774072581873,Drive
174.22976745009305,56.35598532670662,20.830613753893484,Drive
174.30173188256484,56.26888654165795,20.750010059956935,Drive
174.73786496662797,56.25598286020262,20.834192497785743,Drive
174.61072014128325,56.354768841339016,20.8242895068784,Drive
174.36795830173304,56.30015481976068,20.805097301734293,Drive
174.05636713022832,56.24167732446682,20.793525334752772,Drive
173.93980550249768,56.15317302608439,20.779432366531392,Drive
173.65085913944677,56.115195101253306,20.769234768078654,Drive
173.52336916900524,56.199329614114795,20.905161449488656,Drive
173.7507854010186,56.294693072406346,21.04806286564868,Drive
174.11870302112095,56.228939801901625,21.00602358321895,Drive
174.39646300427572,56.21524561053327,20.997441687812238,Drive
175.04657980861114,56.20790668640989,20.98845543777547,Drive
175.27822911972316,56.22866494731041,21.06420760390558,Drive
174.81036928426374,56.30940358273766,21.192624838048516,Drive
174.2351760135829,56.58523308187379,21.443186810517187,Drive
172.99792958761114,56.62518768074059,21.09794566119078,Drive
172.22177167080207,56.733139836286526,21.004109305707107,Drive
172.13981278549022,56.89889984806847,21.10161020242827,Drive
171.8270421104197,56.92550114317458,21.047613208768997,Drive
171.90765465520315,56.9812416964705,21.10682416213301,Drive
171.9009909907027,57.17733017427345,21.13037446503139,Drive
171.77773704587642,57.06825862658877,20.902987632107557,Drive
172.5883872376441,57.08741747697542,20.90276605411346,Drive
173.10202775242414,57.232572026771074,20.998083135970756,Drive
173.10277274851163,57.354319291710134,21.128282723502593,Drive
173.27553611777307,57.56033793918752,21.398190146116423,Drive
172.77936173944045,57.884089527680466,21.315326071400378,Drive
172.68854129507437,58.12462704455617,21.61420518763876,Drive
172.84418606617032,58.92803461956013,22.005313193512034,Drive
171.00217415112886,59.573251588379016,22.153490365369393,Drive
169.66505840966067,60.78479000042868,22.40441372135308,Drive
168.42089688941994,61.71952766231446,21.949327639256627,Drive
169.54580983597924,62.96614343119849,22.621156562318536,Drive
167.74682734261768,64.13148745679464,22.95250643603886,Drive
166.80773915432044,65.3117337573805,23.838323755301566,Drive
167.60250117965947,66.71755325753342,24.588563220943122,Drive
166.61756513600744,69.54627109775483,26.700994965385135,Drive
166.04200355969948,73.06010919761822,29.182991847071808,Drive
165.7014344908401,75.11105165255249,30.650035511516016,Drive
164.94063040724131,78.68943592479448,33.422120392631186,Drive
165.02805223010506,82.5340176610859,35.560408505201586,Drive
165.5872376095737,84.72226783935245,36.598496934466766,Drive
165.872526050392,87.45446938429674,38.049604828858,Drive
166.52844184253038,89.84387422176668,39.06119786794205,Drive
167.6771636648139,92.68154064618895,40.43665310514066,Drive
168.04028696460998,95.670265513463,41.44552257449228,Drive
168.89864762917162,99.06093120690184,43.135937455642136,Drive
170.1474535474295,102.3614462602592,44.99455488892517,Drive
169.55534007133943,108.8746880082669,48.50208116404425,Drive
169.9727310190282,113.22076141026426,51.3381273989544,Drive
168.9195631005488,114.74003765160589,52.21147075212036,Drive
169.95837585376077,119.00395070552894,55.21217103153359,Drive
169.3970852862521,121.18255045903373,56.49064024002328,Drive
169.13442338620214,123.91676517593463,58.5852679373833,Drive
169.5391516546139,125.42953634086263,59.97462953852415,Drive
169.60378200432868,126.43992528470451,61.22503399395986,Drive
169.19401004505454,129.03149209835948,63.07158588150345,Drive
170.47067095464294,134.1694496413142,66.50836679707938,Drive
172.07958244875482,136.49004207376527,67.74272378527814,Drive
172.70343800527837,136.63112628415524,67.64446348146714,Drive
172.1004932617507,137.2202569472797,67.65650761908493,Drive
172.23192854189247,137.47337597457022,68.10762944007804,Drive
172.573149204005,138.91075422122665,69.20543608871525,Drive
172.25767289216714,138.43294930237457,69.49115545009724,Drive
172.19559994995757,138.41346269634968,69.44729924714073,Drive
173.8898311039381,137.79557693982255,69.25314228039367,Drive
173.90834600577213,137.71203911896458,69.98805855857218,Drive
173.89752926971704,137.4237329224017,70.6134156595571,Drive
173.21734489459774,135.92674129672426,71.00024629378099,Drive
172.3881987352213,135.2934322166677,71.93858911675775,Drive
173.19722273079293,134.53915215113216,72.91279126262775,Drive
173.3421644308692,134.31540691854795,73.7940857746481,Drive
173.5471581375052,134.34766094063295,74.95653865674132,Drive
173.63746254925934,134.82325302122192,76.61797769333438,Drive
175.39298963968565,135.7496691354992,78.17165838944845,Drive
174.5393518589936,136.8512920658987,79.94222156943736,Drive
174.23325783986328,136.868224550303,81.51542025992764,Drive
174.79508237841847,136.69352229522303,83.02460170623094,Drive
175.78849261413086,136.92087044576272,84.59606047456472,Drive
176.20079276216387,136.82542967287418,85.80683709685319,Drive
175.9711917963846,137.20266669156157,87.45711384680816,Drive
173.80281755316028,137.9427933098371,88.93928541836155,Drive
172.90104323404302,137.8808956118855,90.79908592713315,Drive
172.80240230097522,137.44719161485585,92.33524400916569,Drive
171.35392841333822,136.8536748783734,93.40226964619856,Drive
170.1086531091154,136.80433533104284,94.64585039201887,Drive
171.51540452586065,137.06539399040346,96.06493225959261,Drive
171.0960804624751,137.0846720390505,97.44770227768343,Drive
171.50293120083626,137.01717158927542,99.57816162643216,Drive
