Elbow Angle,Knee Angle,Hip Angle,Phase,Label
179.37437446377282,32.9773175,20.189382445191523,Catch,bad
177.26710851901387,34.13016592,21.002752446423273,Catch,bad
176.5029403405903,34.44034599380512,21.402643802635456,Catch,bad
175.63865726748733,32.06553463956222,19.882748558640124,Catch,bad
174.76478194026637,30.725267158865226,19.05004358703787,Catch,bad
175.34431204323914,30.913421764019564,18.68339340176664,Catch,bad
176.2133519313859,30.482120128743738,18.79511482583823,Catch,bad
176.36727333459365,30.42636097789927,19.138174317282026,Catch,bad
177.18759786752668,30.141261581475128,18.64793305421129,Catch,bad
177.621967,30.162244781523032,18.455879883050297,Catch,bad
178.03749739009322,29.61895698569503,18.473000907807506,Catch,bad
179.5367593042759,29.846077794316024,18.32976591,Catch,bad
179.2426449796364,30.289861853289956,18.61183163265275,Catch,bad
176.7693780869653,31.221164835495095,18.99173953406746,Catch,bad
175.51073165537082,31.970422754037276,18.423407071953406,Catch,bad
173.11246806897861,33.98582256631153,18.78532721331431,Catch,bad
176.7485894235213,35.139214918270675,19.714603365699997,Catch,bad
178.1071246922831,36.86662139,21.79099817459352,Catch,bad
178.06331869517302,39.73127814335336,23.493390951459926,Catch,bad
178.54831168810165,42.47107971309491,25.227568400875906,Catch,bad
178.9941947558502,46.653209157720916,28.444099726030068,Catch,bad
179.23076371641417,51.87948070949824,31.593619681483574,Drive,bad
179.30513646750498,56.250740953739836,34.37102642079124,Drive,bad
175.4930137380622,61.50906850132206,38.119408231351535,Drive,bad
173.2090042621956,67.68627666389347,42.795595461285814,Drive,bad
169.84350718496063,75.90296458335409,49.18835112783548,Drive,bad
168.20202307375143,83.58732843661411,54.640395447626176,Drive,bad
168.34655712316643,89.02607249,58.56645879280516,Drive,bad
167.73343863002032,96.32695511571916,63.25459909294945,Drive,bad
167.35457981825257,104.7815279,71.22063764295773,Drive,bad
167.6529658767033,118.35763587212278,82.53637289049436,Drive,bad
162.90455531502357,133.17780190037283,94.88653737138856,Drive,bad
152.41242064397863,144.22005567011504,103.68153047778743,Drive,bad
142.80043822106592,150.97576362509423,108.30704355236253,Drive,bad
132.9543883745848,157.34017520120634,113.46193132837357,Drive,bad
124.5517430392191,166.14683584207543,120.01430833355357,Drive,bad
115.44041333835794,171.2395336095653,123.62573783838816,Drive,bad
108.45423387034417,172.2708869958218,126.62024389681721,Drive,bad
94.46616778363682,176.80147986019747,130.7154050721845,Drive,bad
85.78820258648537,176.85610882352685,131.99287748365145,Drive,bad
76.83412760200619,178.73722587898607,134.10872680747414,Drive,bad
68.23742666262048,179.64976668087812,136.00778963791956,Drive,bad
63.07747134062517,179.81448584689517,137.5017773433156,Drive,bad
58.90453251892631,179.6420209203344,139.59767136881067,Finish,bad
51.198597340680024,179.68878232793503,141.57553756418608,Finish,bad
45.20753501,179.19889904862313,143.34822974628736,Finish,bad
40.27292053842519,178.8121728863877,145.07981658729094,Finish,bad
35.25794662720007,179.41100746456698,146.8490618495664,Finish,bad
33.50159007215089,179.71893043438354,149.23892778795604,Finish,bad
33.52021178993519,179.75613100690074,151.37129704517378,Finish,bad
35.240840214616874,179.41735605206256,152.92976359484038,Finish,bad
37.37809733731912,176.6520841292917,151.74387137852645,Finish,bad
38.888297404145064,173.78945002576495,148.86667101084024,Finish,bad
41.70271288571703,170.77457732729536,145.76123403134582,Finish,bad
44.61091933502291,169.06829764196036,141.79700087422282,Finish,bad
53.96885108668253,168.00701342947946,139.30082071787254,Finish,bad
61.49047105407288,166.69017738866603,136.12150482343458,Drive,bad
67.45889782219334,166.5035569723439,133.66124510875827,Drive,bad
74.47041471782035,167.06584417478348,131.97986763262486,Drive,bad
78.76600271678717,170.57263716453548,132.04077828279227,Drive,bad
86.61156473697464,171.12974352786728,130.95695215785412,Drive,bad
95.56495602,172.7818853128614,129.45450570842772,Drive,bad
100.11058336375724,173.19266071702924,127.88039344063314,Drive,bad
103.55516973149781,172.76401406240842,125.37189400494064,Drive,bad
109.9177739,172.01336292322608,123.18877538564504,Drive,bad
117.89623843567136,169.06147393639185,119.10473039826284,Drive,bad
128.72905056307806,168.40162984842345,116.91883238336347,Drive,bad
135.72565178045522,166.93092687749296,113.73613206551622,Drive,bad
142.62503308521795,165.74289024519877,111.28704966891235,Drive,bad
154.5159735253908,163.5323109559871,108.11711743906703,Drive,bad
160.4071740307708,160.55075022880516,104.44969014037406,Drive,bad
164.47695422541767,153.35117148419158,100.6970754532579,Drive,bad
169.58096948273268,145.6445873795467,94.60029295343305,Drive,bad
172.35808309232118,135.28305175692464,86.57942998748942,Drive,bad
172.93622195754935,122.61677107630429,75.50158168390037,Drive,bad
176.2955520440402,114.38382241844376,68.11270817094908,Drive,bad
177.00221067863805,106.73306410549209,61.55417325713988,Drive,bad
179.44291187257224,98.08832778528642,55.52752485,Drive,bad
177.54111037316866,89.75580969756912,48.63278599572598,Drive,bad
173.53191074312272,83.88730446827343,43.45767457930816,Drive,bad
170.36455583455492,77.48767629286999,37.433777128967215,Drive,bad
168.13604870622973,76.12409821330466,35.881932680024995,Drive,bad
165.6930198226676,72.76505599530611,34.75224612,Drive,bad
162.63934286227962,69.91890819,32.25028027956207,Drive,bad
162.2431567068469,64.95114382541006,28.94243109763768,Drive,bad
159.10467410842577,60.713361640296185,25.42138194252396,Drive,bad
160.19532534915493,58.07285891515911,22.85057603414829,Drive,bad
160.23925737840452,53.34870817057751,20.017164169699896,Drive,bad
160.26705844150678,49.62110184387595,17.246403029502208,Catch,bad
164.6540208258395,47.08917093276603,14.321316320915308,Catch,bad
