Elbow Angle,Knee Angle,Hip Angle,Phase,Label
167.8590834848347,62.40423012570653,37.36415637460268,Drive,good
167.67989861256314,63.30906984720547,38.232651754576885,Drive,good
168.82462181566058,64.59431269316964,39.630982237313496,Drive,good
169.0083745803016,66.57178402293798,41.38761126230674,Drive,good
169.40751372913516,68.93712029897713,43.10537947280757,Drive,good
169.59597798841614,71.22439647182306,44.342744032934036,Drive,good
169.6466600097436,73.77105169232375,46.10168175612825,Drive,good
169.5971276163981,76.91875532195274,48.83721975629033,Drive,good
169.25929034895714,80.69940256,51.607457163496285,Drive,good
168.6122283805289,82.07407705569155,53.38796478585362,Drive,good
170.41945932070382,84.80909691,55.865618219807935,Drive,good
170.3121563349398,87.67511494928402,58.61838675,Drive,good
170.88475470215803,92.27089036931774,61.450825430313245,Drive,good
169.2257359145748,96.50783627698873,64.29716522054363,Drive,good
170.34719024632733,100.70845311749405,66.92980604434608,Drive,good
169.84847318518655,106.01844107975826,71.56379805792932,Drive,good
170.19670270589177,116.83731820714586,79.45263165185374,Drive,good
166.62971590366539,122.58394439458782,83.58709539048878,Drive,good
167.13494712953698,133.5176416375553,91.98441825370908,Drive,good
167.36224302322753,142.44531363571255,97.92702216938594,Drive,good
161.5391110606688,147.85430162899075,101.44185852315668,Drive,good
154.98544783593056,154.15962682502493,105.7988919200617,Drive,good
146.7045585,159.11354105912756,109.44301748044661,Drive,good
139.3838265863746,163.28381001987577,111.4941532925222,Drive,good
131.61069170693295,166.6385755404336,115.3424029162494,Drive,good
128.67362031407575,170.73078799648712,118.43979083027364,Drive,good
122.53791551635034,174.63092745611706,121.82600817543674,Drive,good
116.6631733,176.5184758583663,124.32488637947797,Drive,good
107.79701144895937,179.16080046932066,125.7571723845265,Drive,good
99.66670030057983,179.63743379640775,127.56232315636544,Drive,good
92.41549140880056,178.25255187139695,127.76843642561485,Drive,good
88.00175780762086,175.98758456076138,126.8250099100611,Drive,good
81.57775790050383,175.56723071451503,127.4455922558662,Drive,good
75.09018524183395,177.1484118669248,129.13044988827107,Drive,good
69.76640913735498,177.29656154254408,130.43856359903282,Drive,good
65.17607209404245,177.17839454315563,131.57057943549907,Drive,good
63.78300725,177.0273110412895,132.2444542357244,Drive,good
62.62967399125611,177.0507571702053,133.37503148058008,Drive,good
58.29868187370828,177.85932539573568,134.56109751398265,Finish,good
54.14343741623391,178.12990654279736,135.04138518411142,Finish,good
51.29935747575849,178.41977021739038,135.8980012399751,Finish,good
47.93525303974583,177.97681715609423,135.72682229660796,Finish,good
46.834761995421644,178.10453728241018,136.2188601737026,Finish,good
46.964830140564395,178.2102023681771,136.3058522554641,Finish,good
47.03536423034983,177.57525443598863,135.92353739097052,Finish,good
46.82464162350754,177.7077833654752,135.86572505104948,Finish,good
47.06947678534166,177.9402115462269,136.07185319362398,Finish,good
48.09109558830039,178.0801856,136.04991138907545,Finish,good
48.73097959,178.05004674204667,135.88653389816486,Finish,good
49.49250261274592,177.99891094192287,135.67638779620373,Finish,good
52.31681536,177.31347188611227,134.23115551025427,Finish,good
55.26776987090653,176.90187650191032,133.2419467680406,Finish,good
58.469796727836616,176.24148725015712,131.80672496862567,Finish,good
62.23200575808078,176.15217078318966,130.98005002952056,Drive,good
65.65668576225966,176.22781178654074,129.80008243709258,Drive,good
70.86582727346438,176.12232344016894,128.66462499895624,Drive,good
74.20126801163032,175.07537719556584,127.17167250432232,Drive,good
78.72636318773792,175.21784397807826,125.84715879887533,Drive,good
84.84474248,176.08590137623048,125.56159839135634,Drive,good
90.48082974753261,176.67452056850914,125.32437474199646,Drive,good
98.30048747358106,176.62484544782873,124.47266182854644,Drive,good
105.00234625637843,176.51284822717056,122.73455956029757,Drive,good
110.28388684941797,175.88062281228827,121.08347700259486,Drive,good
115.7851786754092,173.34336095991662,118.91103423095788,Drive,good
119.96870432935695,170.54273328326664,116.65065811165893,Drive,good
126.44744981005752,169.3243406136622,115.2029101113726,Drive,good
132.28333557710172,168.9304873486998,114.09232331274559,Drive,good
135.7719449370989,168.47669744271633,112.81251295300528,Drive,good
141.58310621042804,167.23732632037434,111.40221409899515,Drive,good
145.72112713719866,166.13303540076956,110.38311632370565,Drive,good
151.81734009042253,164.54779716795542,107.96509560709613,Drive,good
158.83080916600957,163.61813166757696,106.86863803458901,Drive,good
162.59292018261462,159.68714696357202,105.01625444346958,Drive,good
164.10604813157093,154.24410465456899,101.84076184043535,Drive,good
167.00853690291038,149.2565718,98.41171834,Drive,good
169.80318032592245,145.50716627998668,96.25431686,Drive,good
171.37514936997525,137.35323927838738,90.87544071537562,Drive,good
174.8731691550939,125.52744466608921,81.78378290619648,Drive,good
173.37697573206916,118.1192850978829,75.72705557599738,Drive,good
173.4675882505133,110.03216175941581,69.71400943561426,Drive,good
173.73152040672338,100.61771486303758,62.74374017856841,Drive,good
172.89277252688441,95.55101096741055,59.41492177578199,Drive,good
174.15693406745407,90.08240675163405,56.23059741133074,Drive,good
173.11074119047925,84.55388882790373,52.09412111530057,Drive,good
174.8357847657459,78.44196859,47.34661477237903,Drive,good
175.8227312933245,75.99979985247171,46.16261744518198,Drive,good
177.59706296884855,69.92984002685813,42.28507776946367,Drive,good
177.09061008690648,65.60221536464468,39.156458940495824,Drive,good
179.576125,63.39329433896023,38.11470997994298,Drive,good
178.5032972839379,60.403348817381605,35.50853081635525,Drive,good
178.29871373925837,57.74346983791433,34.018917870421994,Drive,good
178.73255428049075,55.19037637987894,32.12927463600585,Drive,good
176.81391767076528,50.33261242,28.28309379964262,Drive,good
